DataType,LocationID,Category,SubCategory,Score,Notes
"TechnicalAssessment","Gray Center","functionality","technology","0",""
"TechnicalAssessment","Gray Center","functionality","spaceSize","0",""
"TechnicalAssessment","Gray Center","functionality","telecomm","0",""
"TechnicalAssessment","Gray Center","functionality","fireAlarm","0",""
"TechnicalAssessment","Gray Center","architecture","entrances","0",""
"TechnicalAssessment","Gray Center","architecture","exterior","5",""
"TechnicalAssessment","Gray Center","architecture","interiorFinishes","0",""
"TechnicalAssessment","Gray Center","architecture","codesAndAccessibility","0",""
"TechnicalAssessment","Gray Center","architecture","lifeSafety","0",""
"TechnicalAssessment","Gray Center","engineering","superstructure","0",""
"TechnicalAssessment","Gray Center","engineering","mechanical","0",""
"TechnicalAssessment","Gray Center","engineering","fireProtection","0",""
"TechnicalAssessment","Gray Center","engineering","conveyingSystems","0",""
"TechnicalAssessment","Gray Center","engineering","lighting","0",""
"TechnicalAssessment","Gray Center","engineering","plumbing","0",""
"TechnicalAssessment","Gray Center","engineering","power","0",""

DataType,LocationID,ID,Type,Persona,Latitude,Longitude,Comment,PathCoordinatesJSON
"Marker","McKay House","0V0jQYcfUdDX0b3OsCPd","I rarely or never use this space","student","40.59381396609277","-98.37505253536116","",
"Marker","Jackson Dinsdale Art Center","0VEfzouJ1l9g7hG3GVEl","Just leave a comment about this space","student","40.59674916707044","-98.37314226968746","Seems formal",
"Marker","Perkins Library","0WdcgWgvHD5o2czsJEAL","I would like to use this space more, but it needs improvement","student","40.59031097039596","-98.37447877895842","",
"Marker","Morrison-Reeves Science Center","0WsJgLUKdIbzDSTqEByp","This is one of my go-to study spots","student","40.59118016836916","-98.37206363787308","",
"Marker","Daugherty Student Engagement Center","0XYr2zxwvSgvY19NJ5oz","Just leave a comment about this space","student","40.591213964374106","-98.37374589138018","I never use it but it's nice",
"Marker","710 E. 7th St. Residence","0YC9ABWCmtsChifK4Qvs","I do not feel safe in this space","student","40.589575925588235","-98.37315585185182","",
"Marker","Morrison-Reeves Science Center","0YIefJ6OI8KuISOAA07M","This is one of my go-to study spots","student","40.591018809829734","-98.37211941845743","",
"Marker","Hazelrigg Student Union","0ZPGXKCSo1rZObsFoCUq","This is a go-to hangout spot for me and my friends","student","40.59393266748552","-98.37294550838217","",
"Marker","Morrison-Reeves Science Center","0ZWQdL2XjPkvPiIYpzmI","The layout or furniture is not functional for my needs","staff","40.591244587504576","-98.37210439513001","",
"Marker","Physical Fitness Facility","0Zjw652KuYQFO3sOMHwv","This is a go-to hangout spot for me and my friends","student","40.594841982986566","-98.3695538310227","",
"Marker","Hayes M. Fuhr Hall of Music","0aXHYPCoGKzzUp1fGOzi","Just leave a comment about this space","student","40.59474864005091","-98.37181457548692","This place was a very comfortable space for me as a performer in choir. I hope the  future students feel the same about the possible new building!",
"Marker","Perkins Library","0cBikr6S5NJrcpzxeqzA","I would like to use this space more, but it needs improvement","student","40.59032059616243","-98.37444256925724","",
"Marker","Wilson Center","0d4I4px4IKscDSVWzOl7","This space feels outdated or run-down","student","40.59279514459422","-98.37352547913463","",
"Marker","","0daWQPQkqxGSLl397YCg","The lighting or temperature in thei space makes it uncomfortable","student","40.59161848145396","-98.37455934957335","When walking back from the library, it is impossible to see the sidewalk. Can we put in more lights? It would make it safer",
"Marker","Morrison-Reeves Science Center","0dq45q1xQwyOw7dTcSMR","This is one of my go-to study spots","student","40.59132802173028","-98.37202046880572","",
"Marker","Taylor Hall Residence","0fwOGUim2TWr0kd6fTXc","This is a go-to hangout spot for me and my friends","student","40.592707394315624","-98.37462271866623","",
"Marker","","0g0lt7HC5SwcuYjQWZ3U","This is a go-to hangout spot for me and my friends","student","40.59259183205148","-98.37255020587862","Good to meet new people",
"Marker","Name1","0gHXycVLbXvSF5dmMOmC","I rarely or never use this space","student","40.590900987225695","-98.37351793147454","",
"Marker","Morrison-Reeves Science Center","0h4OfgBCWYKgwo7J6eTf","This is one of my go-to study spots","student","40.59119467763395","-98.37198297070304","If I didn’t study in my room I love the couches",
